# density	10x10x10_mean	10x10x10_p10	10x10x10_p90	100x10x10_mean	100x10x10_p10	100x10x10_p90	100x100x10_mean	100x100x10_p10	100x100x10_p90	100x100x100_mean	100x100x100_p10	100x100x100_p90
1	49.733	43.900	59.100	27.968	26.490	29.810	24.273	21.027	22.626	87.782	87.096	95.048
2	35.513	33.355	37.100	25.696	24.530	27.130	22.554	21.182	22.439	31.915	29.855	30.751
5	30.573	28.958	32.620	32.862	28.608	37.940	40.700	39.538	42.743	36.127	35.176	37.090
10	28.357	26.899	30.409	49.223	46.204	51.900	43.050	42.724	44.190	29.181	28.639	29.788
25	25.455	24.600	26.012	51.228	49.074	52.367	44.809	43.511	44.326	26.631	25.950	26.427
50	23.594	22.756	23.802	73.132	72.124	74.429	60.702	60.005	60.847	33.523	33.190	33.631
75	23.184	22.690	23.243	54.298	53.470	55.282	43.067	42.827	43.245	29.489	29.278	29.538
90	23.299	22.876	23.484	34.241	33.362	34.707	35.801	35.677	35.956	26.263	26.045	26.374
95	23.369	22.641	23.069	33.965	33.618	34.526	32.860	32.690	33.015	24.880	24.784	24.980
98	22.776	22.377	22.738	27.691	27.365	28.093	26.973	26.790	27.067	21.805	21.773	21.855
99	22.694	22.310	22.761	24.426	24.155	24.945	24.288	24.207	24.440	21.982	21.836	21.927
100	21.640	21.472	21.830	21.260	21.056	21.845	21.003	20.883	21.113	21.187	21.102	21.308
